,geometry,elevation,line_id
0,POINT Z (139979.182 393145.252999999 12.3220000000001),12.32,5
1,POINT Z (139979.697000001 393153.024999999 12.0950000000012),12.1,7
2,POINT Z (139973.254999999 393154.081999999 12.1640000000043),12.16,5
3,POINT Z (139972.392999999 393155.340999998 11.1760000000068),11.18,5
4,POINT Z (139972.094999999 393155.728 10.9440000000031),10.94,5
5,POINT Z (139971.750999998 393156.214000002 11.0489999999991),11.05,5
6,POINT Z (140276.320999999 393039.037 12.3999999999942),12.4,0
7,POINT Z (140268.033 393042.208000001 12.2299999999959),12.23,0
8,POINT Z (140267.324999999 393042.535 11.4349999999977),11.44,0
9,POINT Z (140266.945 393042.730999999 11.3059999999969),11.31,0
10,POINT Z (140266.555 393042.899 11.4799999999959),11.48,0
11,POINT Z (140265.276999999 393043.465999998 12.5910000000003),12.59,0
12,POINT Z (140258.605 393046.526000001 12.5650000000023),12.57,0
13,POINT Z (140281.513799999 393059.564599998 11.8261000000057),11.83,1
14,POINT Z (140278.919399999 393060.773800001 11.7538999999961),11.75,1
15,POINT Z (140283.006999999 393061.671 12.2519999999931),12.25,2
16,POINT Z (140276.818 393061.7531 11.7339999999967),11.73,1
17,POINT Z (140276.258699998 393062.013799999 11.2988000000041),11.3,1
18,POINT Z (140275.773600001 393062.2399 10.8571999999986),10.86,1
19,POINT Z (140275.435199998 393062.397599999 10.8064000000013),10.81,1
20,POINT Z (140275.142499998 393062.534000002 10.8169000000053),10.82,1
21,POINT Z (140275.045699999 393062.579100002 10.8457000000053),10.85,1
22,POINT Z (140274.808200002 393062.689800002 11.2951999999932),11.3,1
23,POINT Z (140274.421700001 393062.870000001 11.6408999999985),11.64,1
24,POINT Z (140272.4694 393063.779800002 11.8013999999966),11.8,1
25,POINT Z (140277.625 393063.967 12.1490000000049),12.15,2
26,POINT Z (140276.793000001 393064.322999999 11.3340000000026),11.33,2
27,POINT Z (140276.418000001 393064.482000001 11.2700000000041),11.27,2
28,POINT Z (140275.971999999 393064.673 11.3690000000061),11.37,2
29,POINT Z (140269.848200001 393065.001499999 11.8525999999983),11.85,1
30,POINT Z (140274.785 393065.179000001 12.3209999999963),12.32,2
31,POINT Z (140269.300999999 393067.519000001 12.2899999999936),12.29,2
32,POINT Z (140314.335000001 393129.506999999 12.4149999999936),12.42,3
33,POINT Z (140307.555 393132.473999999 12.2100000000064),12.21,3
34,POINT Z (140306.767999999 393132.886999998 11.4679999999935),11.47,3
35,POINT Z (140306.504999999 393132.997000001 11.2949999999983),11.3,3
36,POINT Z (140306.214000002 393133.230999999 11.4539999999979),11.45,3
37,POINT Z (140305.113000002 393133.675000001 12.4279999999999),12.43,3
38,POINT Z (140297.544 393137.182 12.3629999999976),12.36,3
39,POINT Z (140322.340500001 393152.129500002 12.0718999999954),12.07,4
40,POINT Z (140323.263999999 393152.84 12.4670000000042),12.47,6
41,POINT Z (140320.268100001 393153.070300002 11.9850000000006),11.99,4
42,POINT Z (140317.6514 393154.258299999 11.8902999999991),11.89,4
43,POINT Z (140317.063700002 393154.524999999 11.4418000000005),11.44,4
44,POINT Z (140316.4344 393154.810800001 10.8485999999975),10.85,4
45,POINT Z (140316.294500001 393154.874299999 10.8068999999959),10.81,4
46,POINT Z (140316.1675 393154.931899998 10.8372999999992),10.84,4
47,POINT Z (140316.043499999 393154.988200001 10.8672999999981),10.87,4
48,POINT Z (140317.989999998 393155.050000001 12.3439999999973),12.34,6
49,POINT Z (139983.532699998 393156.958299998 11.7212),11.72,8
50,POINT Z (139975.962000001 393157.215999998 12.1659999999974),12.17,7
51,POINT Z (139970.91 393157.372000001 12.0850000000064),12.09,5
52,POINT Z (139975.318999998 393157.936999999 11.4109999999928),11.41,7
53,POINT Z (139974.833000001 393158.482000001 10.8010000000068),10.8,7
54,POINT Z (139974.495999999 393158.859999999 10.6659999999974),10.67,7
55,POINT Z (139980.776299998 393158.965100002 11.603099999993),11.6,8
56,POINT Z (139974.170000002 393159.226 10.8279999999941),10.83,7
57,POINT Z (139973.886 393159.545000002 11.1889999999985),11.19,7
58,POINT Z (139973.362 393160.131999999 11.929999999993),11.93,7
59,POINT Z (139978.6492 393160.513700001 11.4940000000061),11.49,8
60,POINT Z (139978.041200001 393160.956300002 10.9906000000046),10.99,8
61,POINT Z (139977.7918 393161.137899999 10.7084999999934),10.71,8
62,POINT Z (139972.260000002 393161.370000001 11.9389999999985),11.94,7
63,POINT Z (139977.2513 393161.531399999 10.233699999997),10.23,8
64,POINT Z (139977.019200001 393161.700399999 10.2149000000063),10.21,8
65,POINT Z (139976.780699998 393161.874000002 10.252999999997),10.25,8
66,POINT Z (139971.581 393162.131000001 12.0709999999963),12.07,7
67,POINT Z (139976.0836 393162.381499998 10.8119000000006),10.81,8
68,POINT Z (139975.402100001 393162.877700001 11.4425000000047),11.44,8
69,POINT Z (140315.596299998 393155.191199999 11.3236999999936),11.32,4
70,POINT Z (140315.2359 393155.354899999 11.6514000000025),11.65,4
71,POINT Z (140317.030999999 393155.452 11.403999999995),11.4,6
72,POINT Z (140316.616 393155.625999998 11.2390000000014),11.24,6
73,POINT Z (140316.193 393155.802999999 11.2810000000027),11.28,6
74,POINT Z (140315.208999999 393156.215999998 12.278999999995),12.28,6
75,POINT Z (140312.652100001 393156.527800001 11.7698999999993),11.77,4
76,POINT Z (140309.962200001 393157.749000002 11.8233000000037),11.82,4
77,POINT Z (140309.719999999 393158.515999999 12.3110000000015),12.31,6
78,POINT Z (140331.522 393211.059 12.4290000000037),12.43,9
79,POINT Z (139974.033500001 393163.8741 11.5534000000043),11.55,8
80,POINT Z (139965.783 393165.548 12.1089999999967),12.11,5
81,POINT Z (139971.460499998 393165.747299999 11.4918999999936),11.49,8
82,POINT Z (140042.307999998 393225.980999999 11.8910000000033),11.89,12
83,POINT Z (140040.248 393229.751899999 11.6545000000042),11.65,13
84,POINT Z (140041.127999999 393231.383000001 11.8260000000009),11.83,14
85,POINT Z (140037.882100001 393231.572900001 11.630799999999),11.63,13
86,POINT Z (140035.373 393231.875 11.7449999999953),11.75,12
87,POINT Z (140037.391800001 393231.950300001 11.3571999999986),11.36,13
88,POINT Z (140034.556000002 393232.697000001 10.9130000000005),10.91,12
89,POINT Z (140322.135899998 393215.3268 11.6858000000066),11.69,10
90,POINT Z (140320.046 393216.201000001 12.1260000000038),12.13,11
